time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-16 17:22:00+00:00,30,STARLINK-32199,89.07321868219931,30.105526448311696,476.078895536275
2025-05-16 17:23:00+00:00,32,STARLINK-31380,63.72823415058608,230.1127755625697,526.0609476390016
2025-05-16 17:24:00+00:00,36,STARLINK-5941,71.56430482919971,94.45414241259368,586.9543013809027
2025-05-16 17:25:00+00:00,32,STARLINK-11629 [DTC],75.0662408945148,80.78075031371293,348.07831681688486
2025-05-16 17:26:00+00:00,32,STARLINK-31447,83.76999670368852,319.77754692139916,486.12123365119913
2025-05-16 17:27:00+00:00,34,STARLINK-30895,80.15038892889943,150.9524922666266,566.7390082818829
2025-05-16 17:28:00+00:00,35,STARLINK-31339,69.25575348793015,270.4952005141498,506.2264097192462
2025-05-16 17:29:00+00:00,36,STARLINK-1068,81.48506641019978,85.93020254780163,553.5221874623529
2025-05-16 17:30:00+00:00,41,STARLINK-5151,78.62516212928922,319.8861864583655,550.4748526549854
2025-05-16 17:31:00+00:00,35,STARLINK-32189,60.30332477250796,264.4882697354218,541.7282657948683
2025-05-16 17:32:00+00:00,31,STARLINK-30900,86.52086316974562,212.07828285687376,560.3700771275171
2025-05-16 17:33:00+00:00,30,STARLINK-3792,71.96149208343034,29.371567822759935,566.084220963784
2025-05-16 17:34:00+00:00,27,STARLINK-5794,78.44952856390593,34.89060742715579,569.9340805962505
2025-05-16 17:35:00+00:00,34,STARLINK-5964,70.5701962477343,249.75661855236905,590.2053005454221
2025-05-16 17:36:00+00:00,37,STARLINK-5964,65.46568344584453,38.334921324184926,610.16202085353
2025-05-16 17:37:00+00:00,32,STARLINK-30922,81.51825096005187,285.1379427937064,564.8890038201733
2025-05-16 17:38:00+00:00,30,STARLINK-31504,66.7440888893769,187.6539084770806,522.7273044193224
2025-05-16 17:39:00+00:00,37,STARLINK-5806,75.29103265132618,2.139287753425307,576.9968802961513
2025-05-16 17:40:00+00:00,39,STARLINK-1060,72.50430763573871,213.96757173950505,571.8803509391176
2025-05-16 17:41:00+00:00,36,STARLINK-2159,67.1547851624519,33.900088645851135,590.3268222003586
2025-05-16 17:42:00+00:00,35,STARLINK-30949,74.2200126402915,300.5165837176739,579.5698207295831
2025-05-16 17:43:00+00:00,32,STARLINK-5809,75.23696749052185,167.68065448517427,593.4344140357612
2025-05-16 17:44:00+00:00,30,STARLINK-3136,83.81188197873564,285.1290770945428,543.0410029408866
2025-05-16 17:45:00+00:00,32,STARLINK-4786,62.09617186565561,141.09863177657908,643.3425679964998
2025-05-16 17:46:00+00:00,30,STARLINK-30594,73.87910315849263,41.79496841075456,493.91869788588895
2025-05-16 17:47:00+00:00,32,STARLINK-5658,79.87309256475224,359.6742464431138,567.6488500792781
2025-05-16 17:48:00+00:00,32,STARLINK-3637,78.14462073194369,7.53073263723112,551.24495849132
2025-05-16 17:49:00+00:00,36,STARLINK-5812,70.97277126861368,222.22219525210818,605.7401937604171
2025-05-16 17:50:00+00:00,33,STARLINK-2643,71.833136375571,182.73062286553733,573.8396357090411
2025-05-16 17:51:00+00:00,32,STARLINK-30606,77.71223725166065,117.86528642498806,486.0661802711159
2025-05-16 17:52:00+00:00,30,STARLINK-11397 [DTC],75.5286770321804,33.22691890201373,368.38958076499455
2025-05-16 17:53:00+00:00,31,STARLINK-3573,68.193684585825,273.09755653288533,578.3126766324456
2025-05-16 17:54:00+00:00,40,STARLINK-32433,75.37658044245602,306.9459843018286,498.64490720062594
2025-05-16 17:55:00+00:00,37,STARLINK-11177 [DTC],68.29229320637394,56.23511052061254,386.5743997382874
2025-05-16 17:56:00+00:00,36,STARLINK-2631,82.95163621738418,29.039571718953287,551.6718343503504
2025-05-16 17:57:00+00:00,35,STARLINK-31330,64.62099718182968,61.37708797700343,522.8145870477973
2025-05-16 17:58:00+00:00,33,STARLINK-32394,77.75250623664047,270.1603778494484,493.89878299732857
2025-05-16 17:59:00+00:00,31,STARLINK-5652,76.87761959594944,192.0455851061992,573.1428974118943
2025-05-16 18:00:00+00:00,30,STARLINK-11535 [DTC],84.89005569080142,228.0134357961964,358.4557006627441
2025-05-16 18:01:00+00:00,34,STARLINK-2598,69.22464100856726,257.1105848848549,582.4706501580031
2025-05-16 18:02:00+00:00,32,STARLINK-5114,85.54625880983411,157.28904847342193,541.7025462494584
2025-05-16 18:03:00+00:00,33,STARLINK-32170,83.32920480435206,35.00328301764568,479.0077860489042
2025-05-16 18:04:00+00:00,34,STARLINK-32486,71.80892979388776,219.43886290401315,506.976403625295
2025-05-16 18:05:00+00:00,28,STARLINK-2330,64.95415556023646,105.55645277358056,599.251389398457
2025-05-16 18:06:00+00:00,34,STARLINK-5268,70.93197407690137,25.90308258198056,569.258880388663
2025-05-16 18:07:00+00:00,31,STARLINK-2604,68.17145975353715,324.6801576562251,586.5846051097905
2025-05-16 18:08:00+00:00,35,STARLINK-32223,79.31526067988531,155.25015821854353,483.73190376521404
2025-05-16 18:09:00+00:00,38,STARLINK-30540,61.9777746600197,168.67893488983148,626.2060179778156
2025-05-16 18:10:00+00:00,30,STARLINK-1464,86.31836742318272,19.875570760539336,548.725439466578
2025-05-16 18:11:00+00:00,31,STARLINK-32855,77.4921869132718,164.83441342503932,463.7324407665854
2025-05-16 18:12:00+00:00,34,STARLINK-11191 [DTC],86.37008190206333,48.346572470578664,360.8391371134156
2025-05-16 18:13:00+00:00,37,STARLINK-32270,80.99079344081089,27.06611644127365,481.65898147034636
2025-05-16 18:14:00+00:00,39,STARLINK-2608,77.5034357741791,51.26533927533413,559.9803106184148
2025-05-16 18:15:00+00:00,29,STARLINK-31354,60.54623933317655,30.053976070298933,541.1012538123629
2025-05-16 18:16:00+00:00,38,STARLINK-32220,80.46392022249606,320.5552456124977,482.2124587977513
2025-05-16 18:17:00+00:00,31,STARLINK-31921,62.0453947311111,285.7274012754661,499.4070343752994
2025-05-16 18:18:00+00:00,32,STARLINK-3577,75.17924555168965,109.7449589546015,557.4041846771743
2025-05-16 18:19:00+00:00,32,STARLINK-1765,76.30432152226567,260.56361146273724,562.5365330456121
2025-05-16 18:20:00+00:00,34,STARLINK-5148,77.82605684444768,122.87602682724183,551.6806858599662
2025-05-16 18:21:00+00:00,36,STARLINK-5961,85.18204486395416,183.88974621402969,561.2628272090413
2025-05-16 18:22:00+00:00,41,STARLINK-30990,66.98736927821906,248.64381422405475,603.2184360666201
2025-05-16 18:23:00+00:00,39,STARLINK-3572,71.47023901525387,212.17294865901036,567.3137387185028
2025-05-16 18:24:00+00:00,36,STARLINK-30520,71.15865062771194,227.86230456750684,588.2416119899757
2025-05-16 18:25:00+00:00,32,STARLINK-3127,76.47661423673955,290.12464853304544,554.4216343273065
2025-05-16 18:26:00+00:00,36,STARLINK-5971,83.57988276314417,277.51594031939067,562.6817513004634
2025-05-16 18:27:00+00:00,40,STARLINK-31747,68.67249590079454,335.8942782122992,474.93266462721425
2025-05-16 18:28:00+00:00,43,STARLINK-31213,72.98997553255379,58.72999113871969,508.92246287797076
2025-05-16 18:29:00+00:00,42,STARLINK-3576,80.9114634260471,330.6841248927045,546.6947476327828
2025-05-16 18:30:00+00:00,46,STARLINK-3570,69.98577745403968,258.4168524328165,572.1321874585147
2025-05-16 18:31:00+00:00,43,STARLINK-5805,76.52931193459914,300.4728069995034,573.9187066285463
2025-05-16 18:32:00+00:00,45,STARLINK-4468,69.72361033212317,41.322918856085,572.9873538157506
2025-05-16 18:33:00+00:00,44,STARLINK-31201,74.27721597081441,100.0086336877555,500.4681116890255
2025-05-16 18:34:00+00:00,44,STARLINK-31683,83.2589045309271,173.01423203834906,486.2289838214727
2025-05-16 18:35:00+00:00,42,STARLINK-31212,74.55160920524663,114.07032715104728,505.14864629094717
2025-05-16 18:36:00+00:00,31,STARLINK-30477,81.37171867432035,3.0275232071810296,565.7042305437517
2025-05-16 18:37:00+00:00,30,STARLINK-2578,84.58315694211717,273.6977693083248,550.080871862429
2025-05-16 18:38:00+00:00,36,STARLINK-5578,78.85493177221848,95.5850855623065,569.5547662845768
2025-05-16 18:39:00+00:00,37,STARLINK-11087 [DTC],67.03520609566131,0.6241472494570924,389.50289212691416
2025-05-16 18:40:00+00:00,40,STARLINK-31697,84.37260476150817,342.83530104115533,485.7574428778469
2025-05-16 18:41:00+00:00,34,STARLINK-30453,84.48445059094766,298.22800677011014,563.213372140915
2025-05-16 18:42:00+00:00,34,STARLINK-11536 [DTC],64.25684543067884,34.49633197019789,395.39863371795514
2025-05-16 18:43:00+00:00,41,STARLINK-4635,85.65287173893086,283.064843866003,541.8466883073667
2025-05-16 18:44:00+00:00,38,STARLINK-1209,66.23563171736252,106.30556760845762,593.6458681057841
2025-05-16 18:45:00+00:00,36,STARLINK-2143,54.07074109589846,188.28842096458746,662.3713849817113
2025-05-16 18:46:00+00:00,36,STARLINK-30464,78.05216162504256,258.3989542418726,570.5887263130585
2025-05-16 18:47:00+00:00,33,STARLINK-5256,76.5878156483737,13.650959297538792,554.2773078857019
2025-05-16 18:48:00+00:00,41,STARLINK-32947,85.08814989475688,163.05863911005943,484.9444998670373
2025-05-16 18:49:00+00:00,40,STARLINK-32147,79.00342300141318,139.18568743768827,484.13050298320724
2025-05-16 18:50:00+00:00,41,STARLINK-11358 [DTC],81.83481305269758,36.86398662601406,360.5573567345937
2025-05-16 18:51:00+00:00,33,STARLINK-30463,70.81412222064257,246.1976998153776,589.6111538904946
2025-05-16 18:52:00+00:00,29,STARLINK-31230,79.22061064104417,199.2476773342731,483.647157590898
2025-05-16 18:53:00+00:00,32,STARLINK-3566,61.076900880108795,176.91570322518143,609.9014821055122
2025-05-16 18:54:00+00:00,36,STARLINK-4633,64.71700802467339,239.40573258598508,592.0765262777477
2025-05-16 18:55:00+00:00,36,STARLINK-2114,83.68335983871998,57.407404410171395,550.6639654184276
2025-05-16 18:56:00+00:00,39,STARLINK-31320,72.08757211853158,95.41639638310322,498.35967314140925
2025-05-16 18:57:00+00:00,40,STARLINK-32050,81.05580364279632,334.5557864059597,481.4892341507508
2025-05-16 18:58:00+00:00,36,STARLINK-11478 [DTC],78.37534075777518,225.54531086650445,364.3466529874553
2025-05-16 18:59:00+00:00,34,STARLINK-33572,81.6651844921144,117.85942140872349,480.6488470758699
2025-05-16 19:00:00+00:00,33,STARLINK-30598,72.77727218162806,111.59825292601163,583.4521631693419
2025-05-16 19:01:00+00:00,36,STARLINK-3121,85.14333575740785,141.01154629324657,541.8387217115917
2025-05-16 19:02:00+00:00,42,STARLINK-5601,78.77723134339487,101.40577948001943,585.9045753277172
2025-05-16 19:03:00+00:00,45,STARLINK-5068,73.64736205735777,103.75304416098372,597.4986450882968
2025-05-16 19:04:00+00:00,43,STARLINK-32392,72.95631404701628,21.933859320291923,496.14064538469194
2025-05-16 19:05:00+00:00,39,STARLINK-30613,79.35036774717774,92.8008726990094,568.3521332907002
2025-05-16 19:06:00+00:00,32,STARLINK-1247,66.19004206318382,317.4722316406242,594.6566728970852
2025-05-16 19:07:00+00:00,36,STARLINK-33591,77.38151031921896,341.03540512996915,487.1500075358928
2025-05-16 19:08:00+00:00,35,STARLINK-5602,82.4362694565286,351.2077539430211,580.3531015781391
2025-05-16 19:09:00+00:00,30,STARLINK-5645,86.36469917087717,183.80564362526067,576.4149699567819
